id,fullname,preferred_store_id,registration_date
1,Emily Sexton,1,2025-06-05
2,Jessica Washington,5,2025-05-29
3,Haley French,4,2025-06-06
4,Daniel Rogers,1,2025-06-09
5,Leslie Johnson,2,2025-06-04
6,Alyssa Lawson,2,2025-06-10
7,Nicholas Wise,1,2025-06-10
8,James Knight,5,2025-06-01
9,Elaine Hudson,1,2025-06-02
10,Ashley Foster,5,2025-06-05
11,Timothy Delacruz,5,2025-06-03
12,Nicole Williams,3,2025-05-31
13,Nicole Sanders,4,2025-06-07
14,Tabitha Hahn,3,2025-06-10
15,Alexander Baker,2,2025-06-07
16,Nicholas Marshall,5,2025-06-01
17,Kenneth Guerra,3,2025-05-30
18,Chad Gonzalez,3,2025-06-11
19,Leah Lewis,1,2025-06-04
20,Justin Vega,2,2025-06-11
21,Amy Moore,5,2025-06-03
22,Kyle Moore,3,2025-06-07
23,Joseph Torres,5,2025-06-11
24,Teresa Ramirez,5,2025-06-07
25,Cindy Green,3,2025-06-09
26,Michael Koch,1,2025-05-30
27,Tammy Gomez,1,2025-05-30
28,Gregory Gallagher,1,2025-05-29
29,Ruben Taylor,2,2025-05-30
30,Heidi Peterson,4,2025-06-08
31,Leslie Durham,1,2025-06-05
32,Cory Sandoval,1,2025-06-03
33,Kaitlyn Johnson,4,2025-06-05
34,Colleen Lester,5,2025-06-06
35,Jeffrey Rivera,4,2025-06-08
36,Michelle Kelly,5,2025-05-30
37,Daniel Ortiz,1,2025-06-09
38,Gary Figueroa,5,2025-06-01
39,Adam Chavez,2,2025-06-11
40,Crystal Williams,2,2025-05-31
41,Jacqueline Long,2,2025-05-30
42,Drew Lopez,5,2025-06-01
43,James Lewis,5,2025-06-02
44,Matthew Williams,3,2025-05-30
45,Heather Ramsey,2,2025-06-08
46,Christopher Conner,2,2025-06-03
47,Edward Davis,1,2025-05-30
48,James Ray,1,2025-06-05
49,Robert Benson,3,2025-06-05
50,Gary Perez,3,2025-06-06
51,James Ryan,4,2025-05-31
52,Daniel Martin,4,2025-05-30
53,Courtney Lucero,2,2025-06-08
54,Joshua Cunningham,4,2025-06-06
55,Morgan Andrews,1,2025-06-05
56,Justin Obrien,3,2025-05-31
57,Brittany Brown,5,2025-05-31
58,Kathryn Martin,1,2025-06-01
59,Ann Cross,1,2025-05-28
60,Sarah Montgomery,4,2025-06-06
61,Tammy Rodriguez,4,2025-06-05
62,Kyle Reyes,5,2025-06-11
63,Curtis Andrade,3,2025-06-05
64,Chad Stokes,5,2025-06-04
65,Christopher Norris,4,2025-06-03
66,David Valdez,1,2025-06-06
67,Adam Porter,2,2025-05-29
68,Jeffery Wong,1,2025-06-07
69,Sherry Bailey,2,2025-06-01
70,Andrea Wang,3,2025-05-30
71,Jeanne Grimes,2,2025-06-06
72,Philip Reyes,5,2025-06-07
73,Olivia Raymond,4,2025-06-09
74,Kelly Calhoun,4,2025-05-28
75,Justin Morse,2,2025-06-06
76,John Wright,4,2025-05-31
77,Nicholas Garcia,4,2025-06-03
78,Patricia Cisneros,1,2025-06-02
79,Aaron Hernandez,1,2025-06-01
80,Cory Roberts,5,2025-05-30
81,Jamie Lee,1,2025-06-08
82,Todd Morales,1,2025-06-09
83,Rebecca Jones,4,2025-05-28
84,Roy Crawford,3,2025-06-08
85,Lee Hudson,5,2025-05-29
86,Katelyn Pham,3,2025-06-10
87,Alyssa Montoya,5,2025-06-02
88,Daniel Perez,4,2025-06-01
89,Kellie Cole,2,2025-05-31
90,Sydney Padilla,2,2025-06-02
91,Glen Wright,3,2025-06-02
92,Victor Hoover,3,2025-06-04
93,Alyssa Wells,5,2025-06-03
94,Angela Sims,1,2025-06-02
95,Roy Stephens,2,2025-06-10
96,Joseph Bailey,4,2025-06-04
97,Daniel Meyer,3,2025-06-03
98,Douglas Johnson,4,2025-06-10
99,Heather Knight,3,2025-06-05
100,Jessica Russell,2,2025-06-02
101,Olivia Bartlett,2,2025-05-31
102,Dawn Hall,3,2025-06-07
103,Rachael Alexander,3,2025-06-07
104,Jennifer Mcconnell,1,2025-06-04
105,Richard Smith,4,2025-06-10
106,Melissa Johnson,3,2025-05-30
107,Miguel Terry,3,2025-05-31
108,Shirley Mack,4,2025-06-02
109,Antonio Whitaker,2,2025-06-03
110,Shelby Dickson,2,2025-06-06
111,Joseph Walter,3,2025-06-08
112,Mary Simpson,4,2025-06-01
113,Jasmine Nguyen,5,2025-05-29
114,Angela Bowen,5,2025-05-30
115,David Carlson,4,2025-06-09
116,Johnathan Pierce,1,2025-05-31
117,Alan Lee,5,2025-06-04
118,Ana Roberts,4,2025-06-08
119,Jason Terrell,4,2025-06-03
120,Adam Wilson,4,2025-06-03
121,Christopher Murphy,2,2025-06-01
122,Deborah Stout,3,2025-06-08
123,Melanie Garza,4,2025-06-04
124,Kelly Thompson,2,2025-06-07
125,Sabrina Wells,3,2025-06-02
126,Emily Carlson,5,2025-06-06
127,David Davidson,2,2025-06-01
128,Zachary Franco,4,2025-05-30
129,Maria Wolfe,4,2025-06-09
130,Stephen Ball,4,2025-05-30
131,Erin Keller,5,2025-06-06
132,Jeremy Wolf,3,2025-05-28
133,Sabrina Weber,5,2025-06-02
134,Lisa Williams,5,2025-06-01
135,Laurie Frazier,4,2025-06-08
136,Cheryl Smith,5,2025-06-08
137,Melissa Watson,5,2025-06-06
138,Jonathan Smith,3,2025-06-06
139,Jenna Ford,2,2025-06-02
140,Benjamin Ross,4,2025-05-28
141,Margaret Garza,2,2025-06-03
142,Elizabeth Brown,1,2025-05-28
143,Elizabeth Sanchez,4,2025-06-05
144,Gloria Kennedy,1,2025-06-05
145,Tami Carroll,5,2025-06-07
146,Emily Mccoy,2,2025-06-03
147,Joshua Ashley,1,2025-06-07
148,Jason Coleman,2,2025-06-07
